#req err ttot tavg oktot okavg bavg btot src
1 0 1 1 1 1 285 285 /menu.cfm
1 0 1 1 1 1 285 285 /menu.aspx
1 0 1 1 1 1 285 285 /menu.asp
1 0 1 1 1 1 285 285 /main.shtml
1 0 3 3 3 3 285 285 /main.pl
1 0 1 1 1 1 285 285 /main.php
1 0 1 1 1 1 285 285 /main.jsp
1 0 1 1 1 1 285 285 /main.jsa
1 0 1 1 1 1 285 285 /main.jhtml
1 0 1 1 1 1 285 285 /main.html
1 0 2 2 2 2 285 285 /main.cgi
1 0 1 1 1 1 285 285 /main.cfm
1 0 2 2 2 2 285 285 /main.aspx
1 0 1 1 1 1 285 285 /main.asp
1 0 1 1 1 1 285 285 /mPlayer
1 1 0 0 0 0 216 216 /login
1 0 1 1 1 1 285 285 /localstart.shtml
1 0 1 1 1 1 285 285 /localstart.pl
1 0 2 2 2 2 285 285 /localstart.php
1 0 1 1 1 1 285 285 /localstart.jsp
1 0 1 1 1 1 285 285 /localstart.jsa
1 0 2 2 2 2 285 285 /localstart.jhtml
1 0 2 2 2 2 285 285 /localstart.html
1 0 2 2 2 2 285 285 /localstart.cgi
1 0 1 1 1 1 285 285 /localstart.cfm
1 0 1 1 1 1 285 285 /localstart.aspx
1 0 1 1 1 1 285 285 /localstart.asp
1 0 1 1 1 1 285 285 /inicio.shtml
1 0 2 2 2 2 285 285 /inicio.pl
1 0 3 3 3 3 285 285 /inicio.php
1 0 1 1 1 1 285 285 /inicio.jsp
1 0 2 2 2 2 285 285 /inicio.jsa
1 0 1 1 1 1 285 285 /inicio.jhtml
1 0 1 1 1 1 285 285 /inicio.html
1 0 2 2 2 2 285 285 /inicio.cgi
1 0 2 2 2 2 285 285 /inicio.cfm
1 0 2 2 2 2 285 285 /inicio.aspx
1 0 2 2 2 2 285 285 /inicio.asp
1 0 1 1 1 1 285 285 /indice.shtml
1 0 1 1 1 1 285 285 /indice.pl
1 0 1 1 1 1 285 285 /indice.php
1 0 1 1 1 1 285 285 /indice.jsp
1 0 1 1 1 1 285 285 /indice.jsa
1 0 1 1 1 1 285 285 /indice.jhtml
1 0 1 1 1 1 285 285 /indice.html
1 0 2 2 2 2 285 285 /indice.cgi
1 0 1 1 1 1 285 285 /indice.cfm
1 0 1 1 1 1 285 285 /indice.aspx
1 0 1 1 1 1 285 285 /indice.asp
1 0 2 2 2 2 285 285 /index.shtml
1 0 1 1 1 1 285 285 /index.pl
2 0 2 1 2 1 280 561 /index.php
1 0 2 2 2 2 285 285 /index.jsp
1 0 1 1 1 1 285 285 /index.jsa
1 0 1 1 1 1 285 285 /index.jhtml
1 0 2 2 2 2 285 285 /index.html
1 0 1 1 1 1 285 285 /index.cgi
